stamp_abs,stamp_rel,x,y,z,qx,qy,qz,qw,roll,pitch,yaw,vx,vy,vz
1778504679.172621250,704.821205378,-0.003755909,0.006984496,0.006786434,0.013691104,-0.008899411,-0.001636408,0.999865329,0.027357161,-0.017842181,-0.003029176,0.002482605,-0.001644741,0.004444166
1778504679.271728516,704.920312643,-0.004894192,0.007784626,0.003580182,0.013891154,-0.009867319,-0.001382340,0.999853870,0.027759959,-0.019771447,-0.002490628,-0.001563395,0.003349096,-0.004747132
1778504679.370939016,705.019523144,-0.006945968,0.007507715,0.002319101,0.014380636,-0.010576389,0.000046704,0.999840655,0.028768078,-0.021149640,0.000397673,-0.009158495,0.001514344,-0.006990425
1778504679.462520838,705.111104965,-0.006714935,0.009551463,0.002269536,0.013333916,-0.011563044,0.001078845,0.999843657,0.026698904,-0.023095756,0.002466373,-0.007534469,0.012171650,-0.005539623
1778504679.554963350,705.203547478,-0.006281462,0.009977309,0.002147658,0.014284075,-0.010693346,0.000204719,0.999840775,0.028578399,-0.021379066,0.000715026,-0.003271635,0.010050590,-0.004806624
1778504679.672494173,705.321078300,-0.006008212,0.010106590,0.004055115,0.014715742,-0.009922039,-0.000526442,0.999842349,0.029426445,-0.019857748,-0.000760849,-0.000378106,0.007055712,0.001104004
1778504679.762501001,705.411085129,-0.006571953,0.009673916,0.004736429,0.015138103,-0.010683289,0.000460273,0.999828232,0.030292376,-0.021350594,0.001244120,-0.003318722,0.002579687,0.002069547
1778504679.863539219,705.512123346,-0.005372200,0.009624578,0.005619359,0.014764331,-0.010238564,0.001486409,0.999837475,0.029564776,-0.020431330,0.003275356,0.003069935,0.001931523,0.003717993
1778504679.971641302,705.620225430,-0.008168576,0.008061844,0.004509969,0.015192535,-0.012085747,0.000563614,0.999811384,0.030406513,-0.024152157,0.001494679,-0.012212397,-0.004931208,-0.000516752
1778504680.034946442,705.683530569,-0.008113689,0.008132564,0.005834492,0.015019974,-0.011522403,-0.000018186,0.999820801,0.030046642,-0.023043261,0.000309850,-0.009738934,-0.002989870,0.002945200
1778504680.168959856,705.817543983,-0.007758958,0.008220786,0.004798322,0.015090292,-0.011126436,0.000154719,0.999824215,0.030190777,-0.022246125,0.000645345,-0.004152863,-0.001032198,-0.000718050
1778504680.271334648,705.919918776,-0.008930391,0.007728623,0.003850481,0.015445642,-0.011230684,-0.000676212,0.999817407,0.030883165,-0.022480050,-0.001005500,-0.007932744,-0.002925777,-0.003350957
1778504680.370791674,706.019375801,-0.009292513,0.007911938,0.002648441,0.015622008,-0.011098655,-0.001627500,0.999815045,0.031214903,-0.022245889,-0.002908355,-0.006629183,-0.001925496,-0.005625970
